ticker,datetime,date,time,headline,neg,neu,pos,compound
AAPL,2021-01-13 15:07:00,Jan-13-21,03:07PM,Dow Jones Rallies As McConnell Blocks Early Trump Impeachment; Airbnb Hits Buy Zone,0.137,0.863,0.0,-0.2263
AAPL,2021-01-13 14:25:00,Jan-13-21,02:25PM,The biggest data puzzle of our lifetime  Vaccine distribution effort gets help from Big Tech,0.0,0.838,0.162,0.4019
AAPL,2021-01-13 14:11:00,Jan-13-21,02:11PM,Amazons Other Reason for Booting Parler: User Threats to Staff,0.328,0.672,0.0,-0.4404
AAPL,2021-01-13 13:46:00,Jan-13-21,01:46PM,All the Problems Pat Gelsinger Faces as Intels Next CEO,0.231,0.769,0.0,-0.4019
AAPL,2021-01-13 13:44:00,Jan-13-21,01:44PM,20 Biggest One Hit Wonders,0.0,1.0,0.0,0.0
AAPL,2021-01-13 13:38:00,Jan-13-21,01:38PM,Dow Jones Joins Stock Market Advance As Trump Impeachment Vote Looms,0.138,0.862,0.0,-0.1531
AAPL,2021-01-13 13:07:00,Jan-13-21,01:07PM,"Apple to Set Up Innovation Center, Enable VC Funding to Combat Racism",0.359,0.497,0.144,-0.5994
AAPL,2021-01-13 13:02:00,Jan-13-21,01:02PM,Survey: 60% of Invested Readers Say State of the Nation is Top Concern,0.0,0.87,0.13,0.2023
AAPL,2021-01-13 12:38:00,Jan-13-21,12:38PM,"Apple Supplier Foxconn, Geely Partner On Automotive Contract Manufacturing Services",0.0,1.0,0.0,0.0
AAPL,2021-01-13 12:13:00,Jan-13-21,12:13PM,Intel CEO Bob Swan Is Replaced by VMwares Pat Gelsinger,0.0,1.0,0.0,0.0
AAPL,2021-01-13 11:55:00,Jan-13-21,11:55AM,"Dow Jones Reverses Amid Trump Impeachment Vote; Intel Soars On New CEO, While Apple, Nio Rally",0.0,1.0,0.0,0.0
AAPL,2021-01-13 11:33:00,Jan-13-21,11:33AM,Canoo Shares Jump After Report of Talks With Apple,0.0,0.784,0.216,0.296
AAPL,2021-01-13 10:11:00,Jan-13-21,10:11AM,Qualcomm to Acquire Chip Startup Nuvia for $1.4 Billion,0.0,1.0,0.0,0.0
AAPL,2021-01-13 10:06:00,Jan-13-21,10:06AM,Better Buy: Advanced Micro Devices (AMD) vs. Taiwan Semiconductor (TSMC),0.0,0.62,0.38,0.5994
AAPL,2021-01-13 10:00:00,Jan-13-21,10:00AM,"Dow Jones Today, Stocks Mixed Ahead Of Second Trump Impeachment Vote; Intel Spikes On Leadership Change",0.0,1.0,0.0,0.0
AAPL,2021-01-13 09:54:00,Jan-13-21,09:54AM,Anticipated Cord Cutting to Aid Streaming Providers in 2021,0.158,0.842,0.0,-0.128
AAPL,2021-01-13 09:18:00,Jan-13-21,09:18AM,Apple to launch developer academy in Detroit as part of $100 million racial-justice investment,0.0,1.0,0.0,0.0
AAPL,2021-01-13 09:08:00,Jan-13-21,09:08AM,Apple announces racial equity and justice initiatives as part of $100 million program,0.0,0.779,0.221,0.5267
AAPL,2021-01-13 08:14:00,Jan-13-21,08:14AM,The Apple Car Chatter Is Backand Its Helping Everyone Except Apple,0.0,0.82,0.18,0.296
AAPL,2021-01-13 08:00:00,Jan-13-21,08:00AM,"Qualcomm eyes challenge to Apple, Intel with $1.4 billion deal for chip startup",0.0,0.902,0.098,0.0772
AAPL,2021-01-13 07:27:00,Jan-13-21,07:27AM,Apple announces new projects related to its $100 million pledge for racial equity and justice,0.0,0.805,0.195,0.5267

AAPL,2021-01-16 21:44:00,Jan-16-21,09:44PM,"Dow Jones Futures: Stock Market Rally, Tesla Have Healthy Pullbacks As Biden Stimulus Buzz Wanes",0.0,0.838,0.162,0.4019
AAPL,2021-01-16 14:44:00,Jan-16-21,02:44PM,Apple Tests Foldable Screen For iPhone: Bloomberg,0.0,1.0,0.0,0.0
AAPL,2021-01-16 09:21:00,Jan-16-21,09:21AM,Haim Saban explains why the Fox-Disney merger stumped him,0.0,1.0,0.0,0.0
AAPL,2021-01-16 07:00:00,Jan-16-21,07:00AM,"Big Pension Bought Up Tesla, Apple, Microsoft, and GE Stock",0.0,1.0,0.0,0.0
AAPL,2021-01-15 20:19:00,Jan-15-21,08:19PM,Barrons 2020 Quiz Winner Gets an Unusually High Score,0.0,0.678,0.322,0.5859
AAPL,2021-01-15 18:07:00,Jan-15-21,06:07PM,Daily Crunch: WhatsApp responds to privacy backlash,0.0,1.0,0.0,0.0
AAPL,2021-01-15 17:55:00,Jan-15-21,05:55PM,Intel Made the Right CEO Choice With Pat Gelsinger. A Rebound Will Still Take Time.,0.0,1.0,0.0,0.0
AAPL,2021-01-15 16:51:00,Jan-15-21,04:51PM,"Apple TV Plus Free Subscriptions Extended Again, This Time Through July 2021",0.0,0.769,0.231,0.5106
AAPL,2021-01-15 16:08:00,Jan-15-21,04:08PM,Apple Considers Foldable iPhone; Minor Changes Planned for 2021 Models,0.0,1.0,0.0,0.0
AAPL,2021-01-15 15:10:00,Jan-15-21,03:10PM,Michelob Ultra Goes Greener With Aluminum in MacBooks,0.0,1.0,0.0,0.0
